Date,Close
2007-04-09,23165
2007-04-10,23145
2007-04-11,23540
2007-04-12,24190
2007-04-13,23670
2007-04-16,24050
2007-04-17,23755
2007-04-18,23800
2007-04-19,22725
2007-04-20,22095
2007-04-23,21585
2007-04-24,21730
2007-04-25,21000
2007-04-26,21160
2007-04-27,20820
2007-04-30,20995
2007-05-08,21495
2007-05-09,21140
2007-05-10,20430
2007-05-11,20195
2007-05-14,20105
2007-05-15,19670
2007-05-16,20445
2007-05-17,20200
2007-05-18,20425
2007-05-21,21175
2007-05-22,21180
2007-05-23,21030
2007-05-24,20990
2007-05-25,20730
2007-05-28,20330
2007-05-29,19745
2007-05-30,19800
2007-05-31,19865
2007-06-01,19805
2007-06-04,19980
2007-06-05,20400
2007-06-06,20290
2007-06-07,19635
2007-06-08,19430
2007-06-11,19295
2007-06-12,18930
2007-06-13,18905
2007-06-14,18885
2007-06-15,18670
2007-06-18,19040
2007-06-19,19175
2007-06-20,18750
2007-06-21,18800
2007-06-22,18795
2007-06-25,18805
2007-06-26,18700
2007-06-27,17990
2007-06-28,17890
2007-06-29,17930
2007-07-02,17900
2007-07-03,18215
2007-07-04,18050
2007-07-05,18285
2007-07-06,17775
2007-07-09,18100
2007-07-10,18020
2007-07-11,18040
2007-07-12,18105
2007-07-13,18000
2007-07-16,18105
2007-07-17,18005
2007-07-18,18025
2007-07-19,18070
2007-07-20,18540
2007-07-23,18450
2007-07-24,18460
2007-07-25,18500
2007-07-26,18910
2007-07-27,18800
2007-07-30,19145
2007-07-31,19160
2007-08-01,18790
2007-08-02,18940
2007-08-03,19015
2007-08-06,18700
2007-08-07,18720
2007-08-08,18700
2007-08-09,18980
2007-08-10,18750
2007-08-13,18935
2007-08-14,18860
2007-08-15,18480
2007-08-16,18150
2007-08-17,17820
2007-08-20,18200
2007-08-21,18180
2007-08-22,18210
2007-08-23,18270
2007-08-24,18220
2007-08-27,18250
2007-08-28,18380
2007-08-29,18300
2007-08-30,18415
2007-08-31,18780
2007-09-03,19050
2007-09-04,19140
2007-09-05,19260
2007-09-06,19330
2007-09-07,19400
2007-09-10,19200
2007-09-11,19180
2007-09-12,19180
2007-09-13,19220
2007-09-14,19260
2007-09-17,19400
2007-09-19,22700
2007-09-20,22275
2007-09-21,22200
2007-09-24,22490
2007-09-25,22490
2007-09-26,22450
2007-09-27,22450
2007-09-28,22450
2007-10-08,23080
2007-10-09,23000
2007-10-10,23115
2007-10-11,23150
2007-10-12,22980
2007-10-15,23170
2007-10-16,23470
2007-10-17,23150
2007-10-18,23150
2007-10-19,23195
2007-10-22,22600
2007-10-23,22800
2007-10-24,22665
2007-10-25,22900
2007-10-26,23400
2007-10-29,23935
2007-10-30,23850
2007-10-31,23720
2007-11-01,24365
2007-11-02,23850
2007-11-05,23770
2007-11-06,23890
2007-11-07,24120
2007-11-08,23860
2007-11-09,23925
2007-11-12,22920
2007-11-13,22830
2007-11-14,23000
2007-11-15,22655
2007-11-16,22505
2007-11-19,22450
2007-11-20,22200
2007-11-21,22300
2007-11-22,22545
2007-11-23,23170
2007-11-26,22900
2007-11-27,23030
2007-11-28,22900
2007-11-29,23100
2007-11-30,23120
2007-12-03,23010
2007-12-04,22940
2007-12-05,23000
2007-12-06,22900
2007-12-07,22970
2007-12-10,23590
2007-12-11,23800
2007-12-12,23600
2007-12-13,23700
2007-12-14,23740
2007-12-17,23525
2007-12-18,23805
2007-12-19,24010
2007-12-20,23945
2007-12-21,24000
2007-12-24,24815
2007-12-25,24385
2007-12-26,24500
2007-12-27,24450
2007-12-28,24450
2008-01-02,24400
2008-01-03,24420
2008-01-04,25200
2008-01-07,24810
2008-01-08,25100
2008-01-09,25275
2008-01-10,25015
2008-01-11,25100
2008-01-14,25345
2008-01-15,25205
2008-01-16,24330
2008-01-17,24585
2008-01-18,24285
2008-01-21,24330
2008-01-22,23415
2008-01-23,23670
2008-01-24,23735
2008-01-25,24125
2008-01-28,23850
2008-01-29,24240
2008-01-30,24000
2008-01-31,24090
2008-02-01,24350
2008-02-04,24520
2008-02-05,24545
2008-02-13,24420
2008-02-14,24300
2008-02-15,24280
2008-02-18,24640
2008-02-19,24710
2008-02-20,24830
2008-02-21,25580
2008-02-22,25365
2008-02-25,25600
2008-02-26,24650
2008-02-27,24470
2008-02-28,24460
2008-02-29,24765
2008-03-03,25050
2008-03-04,24255
2008-03-05,23900
2008-03-06,23855
2008-03-07,23760
2008-03-10,23815
2008-03-11,23710
2008-03-12,23115
2008-03-13,22560
2008-03-14,23135
2008-03-17,23400
2008-03-18,23125
2008-03-19,22650
2008-03-20,22110
2008-03-21,22300
2008-03-24,22300
2008-03-25,22805
2008-03-26,22605
2008-03-27,22720
2008-03-28,22590
2008-03-31,22805
2008-04-01,22155
2008-04-02,22125
2008-04-03,22350
2008-04-07,22180
2008-04-08,21700
2008-04-09,21630
2008-04-10,21235
2008-04-11,20700
2008-04-14,20610
2008-04-15,20620
2008-04-16,20660
2008-04-17,20925
2008-04-18,20705
2008-04-21,20850
2008-04-22,20470
2008-04-23,20650
2008-04-24,20825
2008-04-25,20760
2008-04-28,21585
2008-04-29,21600
2008-04-30,21890
2008-05-05,22385
2008-05-06,22575
2008-05-07,22285
2008-05-08,22370
2008-05-09,22445
2008-05-12,23315
2008-05-13,23565
2008-05-14,23995
2008-05-15,23980
2008-05-16,24610
2008-05-19,23700
2008-05-20,23830
2008-05-21,23655
2008-05-22,23950
2008-05-23,24840
2008-05-26,25695
2008-05-27,26325
2008-05-28,26250
2008-05-29,26225
2008-05-30,25240
2008-06-02,24635
2008-06-03,24945
2008-06-04,24350
2008-06-05,24620
2008-06-06,24950
2008-06-10,25435
2008-06-11,26300
2008-06-12,26415
2008-06-13,26230
2008-06-16,27020
2008-06-17,27110
2008-06-18,26705
2008-06-19,26810
2008-06-20,26490
2008-06-23,27435
2008-06-24,27635
2008-06-25,28195
2008-06-26,27685
2008-06-27,27800
2008-06-30,27805
2008-07-01,27725
2008-07-02,28035
2008-07-03,26805
2008-07-04,27250
2008-07-07,27395
2008-07-08,27120
2008-07-09,26795
2008-07-10,26770
2008-07-11,27790
2008-07-14,27510
2008-07-15,27150
2008-07-16,26630
2008-07-17,26970
2008-07-18,26930
2008-07-21,27245
2008-07-22,27090
2008-07-23,26855
2008-07-24,27150
2008-07-25,27440
2008-07-28,27470
2008-07-29,27805
2008-07-30,28090
2008-07-31,28035
2008-08-01,27780
2008-08-04,27755
2008-08-05,26610
2008-08-06,27315
2008-08-07,26300
2008-08-08,26465
2008-08-11,25930
2008-08-12,26420
2008-08-13,26680
2008-08-14,26890
2008-08-15,26480
2008-08-18,26800
2008-08-19,26545
2008-08-20,26790
2008-08-21,26690
2008-08-22,26910
2008-08-25,26885
2008-08-26,26975
2008-08-27,27155
2008-08-28,27360
2008-08-29,27410
2008-09-01,27330
2008-09-02,27225
2008-09-03,27270
2008-09-04,27260
2008-09-05,27260
2008-09-08,27290
2008-09-09,27300
2008-09-10,27395
2008-09-11,27230
2008-09-12,27325
2008-09-16,27295
2008-09-17,20700
2008-09-18,20210
2008-09-19,20430
2008-09-22,20950
2008-09-23,20510
2008-09-24,19820
2008-09-25,20000
2008-09-26,19300
2008-10-06,19300
2008-10-07,19300
2008-10-08,19300
2008-10-09,19300
2008-10-10,19300
2008-10-13,19300
2008-10-14,19300
2008-10-15,19300
2008-10-16,19300
2008-10-17,19300
2008-10-20,19300
2008-10-21,19300
2008-10-22,18525
2008-10-23,18525
2008-10-24,18525
2008-10-27,18525
2008-10-28,18525
2008-10-29,18525
2008-10-30,18525
2008-10-31,18525
2008-11-03,18525
2008-11-04,18525
2008-11-05,18525
2008-11-06,18525
2008-11-07,18525
2008-11-10,18525
2008-11-11,18525
2008-11-12,18525
2008-11-13,18525
2008-11-14,18525
2008-11-17,18525
2008-11-18,18525
2008-11-19,18525
2008-11-20,18525
2008-11-21,18525
2008-11-24,18525
2008-11-25,18525
2008-11-26,18525
2008-11-27,18525
2008-11-28,18525
2008-12-01,18525
2008-12-02,18525
2008-12-03,18525
2008-12-04,18525
2008-12-05,18525
2008-12-08,18525
2008-12-09,18525
2008-12-10,18525
2008-12-11,18525
2008-12-12,18525
2008-12-15,18525
2008-12-16,18525
2008-12-17,17780
2008-12-18,17780
2008-12-19,17780
2008-12-22,17065
2008-12-23,16040
2008-12-24,15075
2008-12-25,15075
2008-12-26,15075
2008-12-29,15075
2008-12-30,15075
2008-12-31,14470
2009-01-05,13600
2009-01-06,12780
2009-01-07,12780
2009-01-08,12140
2009-01-09,12055
2009-01-12,12000
2009-01-13,11850
2009-01-14,12400
2009-01-15,12100
2009-01-16,12400
2009-01-19,12365
2009-01-20,12600
2009-01-21,12620
2009-01-22,12410
2009-01-23,12300
2009-02-02,12240
2009-02-03,12650
