,Date,RB05_p,RB05_v,RB05_po
483,2011-05-13,5039.0,0.0,2940.0
484,2011-05-16,5039.0,0.0,2940.0
485,2011-05-17,4865.0,0.0,0.0
486,2011-05-18,4892.0,28.0,10.0
487,2011-05-19,4881.0,40.0,8.0
488,2011-05-20,4892.0,16.0,8.0
489,2011-05-23,4845.0,292.0,126.0
490,2011-05-24,4878.0,30.0,136.0
491,2011-05-25,4867.0,0.0,136.0
492,2011-05-26,4890.0,18.0,142.0
493,2011-05-27,4911.0,86.0,172.0
494,2011-05-30,4955.0,88.0,228.0
495,2011-05-31,4947.0,18.0,242.0
496,2011-06-01,4960.0,14.0,248.0
497,2011-06-02,4945.0,26.0,248.0
498,2011-06-03,4953.0,10.0,246.0
499,2011-06-07,4951.0,4.0,250.0
500,2011-06-08,4960.0,108.0,308.0
501,2011-06-09,4948.0,94.0,350.0
502,2011-06-10,4940.0,42.0,370.0
503,2011-06-13,4913.0,58.0,400.0
504,2011-06-14,4910.0,114.0,394.0
505,2011-06-15,4900.0,6.0,396.0
506,2011-06-16,4878.0,18.0,404.0
507,2011-06-17,4833.0,166.0,380.0
508,2011-06-20,4776.0,8.0,376.0
509,2011-06-21,4773.0,60.0,348.0
510,2011-06-22,4735.0,148.0,342.0
511,2011-06-23,4750.0,136.0,374.0
512,2011-06-24,4758.0,14.0,374.0
513,2011-06-27,4724.0,106.0,430.0
514,2011-06-28,4723.0,130.0,468.0
515,2011-06-29,4728.0,42.0,484.0
516,2011-06-30,4733.0,536.0,808.0
517,2011-07-01,4721.0,144.0,844.0
518,2011-07-04,4816.0,320.0,818.0
519,2011-07-05,4820.0,158.0,854.0
520,2011-07-06,4845.0,114.0,910.0
521,2011-07-07,4830.0,300.0,930.0
522,2011-07-08,4845.0,50.0,944.0
523,2011-07-11,4900.0,724.0,974.0
524,2011-07-12,4898.0,784.0,1532.0
525,2011-07-13,4903.0,214.0,1602.0
526,2011-07-14,4886.0,220.0,1652.0
527,2011-07-15,4874.0,210.0,1624.0
528,2011-07-18,4903.0,68.0,1658.0
529,2011-07-19,4917.0,324.0,1762.0
530,2011-07-20,4926.0,134.0,1782.0
531,2011-07-21,4910.0,100.0,1786.0
532,2011-07-22,4922.0,64.0,1828.0
533,2011-07-25,4870.0,306.0,1924.0
534,2011-07-26,4899.0,144.0,1976.0
535,2011-07-27,4918.0,82.0,1952.0
536,2011-07-28,4935.0,326.0,2044.0
537,2011-07-29,4930.0,182.0,2082.0
538,2011-08-01,4953.0,316.0,2100.0
539,2011-08-02,4950.0,70.0,2114.0
540,2011-08-03,4944.0,100.0,2110.0
541,2011-08-04,4930.0,152.0,2148.0
542,2011-08-05,4825.0,946.0,2436.0
543,2011-08-08,4812.0,878.0,2792.0
544,2011-08-09,4790.0,832.0,2800.0
545,2011-08-10,4808.0,356.0,2806.0
546,2011-08-11,4815.0,380.0,2834.0
547,2011-08-12,4825.0,244.0,2848.0
548,2011-08-15,4863.0,624.0,3128.0
549,2011-08-16,4850.0,1606.0,4096.0
550,2011-08-17,4869.0,946.0,4570.0
551,2011-08-18,4845.0,832.0,4932.0
552,2011-08-19,4832.0,596.0,5106.0
553,2011-08-22,4835.0,484.0,5204.0
554,2011-08-23,4852.0,1094.0,5776.0
555,2011-08-24,4847.0,302.0,5906.0
556,2011-08-25,4838.0,2146.0,6712.0
557,2011-08-26,4825.0,432.0,6776.0
558,2011-08-29,4796.0,974.0,7236.0
559,2011-08-30,4839.0,1148.0,7580.0
560,2011-08-31,4857.0,612.0,7590.0
561,2011-09-01,4851.0,372.0,7618.0
562,2011-09-02,4855.0,972.0,8094.0
563,2011-09-05,4830.0,1204.0,8648.0
564,2011-09-06,4821.0,1384.0,9232.0
565,2011-09-07,4842.0,1154.0,9128.0
566,2011-09-08,4836.0,614.0,9160.0
567,2011-09-09,4823.0,754.0,9494.0
568,2011-09-13,4800.0,3348.0,11216.0
569,2011-09-14,4776.0,5608.0,14058.0
570,2011-09-15,4767.0,2334.0,14534.0
571,2011-09-16,4747.0,3368.0,15924.0
572,2011-09-19,4662.0,7422.0,19512.0
573,2011-09-20,4653.0,13798.0,28240.0
574,2011-09-21,4676.0,9658.0,32064.0
575,2011-09-22,4604.0,14496.0,38610.0
576,2011-09-23,4509.0,34250.0,53654.0
577,2011-09-26,4401.0,28794.0,64610.0
578,2011-09-27,4444.0,28148.0,70550.0
579,2011-09-28,4417.0,28254.0,78734.0
580,2011-09-29,4305.0,34774.0,86502.0
581,2011-09-30,4342.0,56938.0,108958.0
582,2011-10-10,4324.0,28632.0,115658.0
583,2011-10-11,4329.0,72608.0,138216.0
584,2011-10-12,4351.0,85426.0,148614.0
585,2011-10-13,4322.0,56790.0,156306.0
586,2011-10-14,4317.0,59268.0,161978.0
